Sulphate,1
Dust,1
Sulfa Surgical Tape,1
Demerol,1
Dye,2
Fish,2
Dairy Products,2
Lactose,2
Servere Peanut Allergy,2
Aspirin,2
Gluten,2
Elastoplast,2
Catfood Rubber,2
ASA Cotton Sheets,2
Pork,3
Erythromycin,3
Cats,3
Cyclor,3
Elastoplast Bondage,3
Radioopaque Dye,3
Environmental,4
Peanut Oil,4
Lactose Intolerant,4
Nuts,5
Feathers,6
Walnuts,6
Ragweed,6
Sulpha,7
Penicillin Diazepam,7
Cat Hair,7
Shellfish,9
Pet Hair,9
Seafood,10
Acetaminophen,12
Eggs,12
Penicillin Sulpha Drugs,12
Latex,13
Milk,14
Topical Anaesthesia,15
Cheese,15
Penicillin Environmental,18
Tape,20
Salicylic Acid,20
Honey,20
Sulphur,22
Morphine,22
Almonds,23
Hay Fever,25
Strawberries,25
Micropore Tape,27
Peanut Butter,29
Wheat,33
Tetracycline,34
Valporic Acid,38
Bee Stings,40
Tylenol,42
Iodine,48
Peanuts,52
Sulfa Drugs,71
ASA,99
Sulfa,157
Codeine,305
Penicillin,1082
NULL,2059
