NULL,2059
Penicillin,1082
Codeine,305
Sulfa,157
ASA,99
Sulfa Drugs,71
Peanuts,52
Iodine,48
Tylenol,42
Bee Stings,40
Valporic Acid,38
Tetracycline,34
Wheat,33
Peanut Butter,29
Micropore Tape,27
Strawberries,25
Hay Fever,25
Almonds,23
Sulphur,22
Morphine,22
Tape,20
Salicylic Acid,20
Honey,20
Penicillin Environmental,18
Cheese,15
Topical Anaesthesia,15
Milk,14
Latex,13
Eggs,12
Penicillin Sulpha Drugs,12
Acetaminophen,12
Seafood,10
Pet Hair,9
Shellfish,9
Cat Hair,7
Penicillin Diazepam,7
Sulpha,7
Walnuts,6
Ragweed,6
Feathers,6
Nuts,5
Environmental,4
Peanut Oil,4
Lactose Intolerant,4
Pork,3
Erythromycin,3
Cats,3
Radioopaque Dye,3
Cyclor,3
Elastoplast Bondage,3
Servere Peanut Allergy,2
Dairy Products,2
Lactose,2
Dye,2
Fish,2
Aspirin,2
Gluten,2
Elastoplast,2
Catfood Rubber,2
ASA Cotton Sheets,2
Sulphate,1
Dust,1
Sulfa Surgical Tape,1
Demerol,1
